	A	B	C	D	E	F	G	H
1	F1_R1	F1_R2	F1_R3	F1_R4	F1_R5	F1_R6	F1_R7	F1_R8
2	F2_R1	F2_R2	F2_R3	F2_R4	F2_R5	F2_R6	F2_R7	F2_R8
3	F3_R1	F3_R2	F3_R3	F3_R4	F3_R5	F3_R6	F3_R7	F3_R8
4	F4_R1	F4_R2	F4_R3	F4_R4	F4_R5	F4_R6	F4_R7	F4_R8
5	F5_R1	F5_R2	F5_R3	F5_R4	F5_R5	F5_R6	F5_R7	F5_R8
6	F6_R1	F6_R2	F6_R3	F6_R4	F6_R5	F6_R6	F6_R7	F6_R8
7	F7_R1	F7_R2	F7_R3	F7_R4	F7_R5	F7_R6	F7_R7	F7_R8
8	F8_R1	F8_R2	F8_R3	F8_R4	F8_R5	F8_R6	F8_R7	F8_R8
9	F9_R1	F9_R2	F9_R3	F9_R4	F9_R5	F9_R6	F9_R7	F9_R8
10	F10_R1	F10_R2	F10_R3	F10_R4	F10_R5	F10_R6	F10_R7	F10_R8
11	F11_R1	F11_R2	F11_R3	F11_R4	F11_R5	F11_R6	F11_R7	F11_R8
12	F12_R1	F12_R2	F12_R3	F12_R4	F12_R5	F12_R6	F12_R7	F12_R8
